"full_name","is_generator","coverage_ratio","run_lines_count","executable_lines_count","total_tests","total_calls","total_exceptions","total_paths","top1_path_calls","top1_path_ratio","top1_path_run_lines","top1_path_run_lines_ratio","top2_path_calls","top2_path_ratio","top2_path_run_lines","top2_path_run_lines_ratio"
"argparse.FileType.__init__","False","100.0","4","4","6","23","0","1","23","100.0","4","100.0","-1","-1","-1","-1"
"argparse.ArgumentParser.__init__","False","66.7","32","48","102","2094","3","9","1308","62.5","28","58.3","580","27.7","27","56.2"
"argparse._ActionsContainer.__init__","False","100.0","26","26","102","7750","1","2","7749","100.0","26","100.0","1","0.0","19","73.1"
"argparse._ArgumentGroup.__init__","False","100.0","15","15","101","5656","0","1","5656","100.0","15","100.0","-1","-1","-1","-1"
"argparse._ActionsContainer.add_argument","False","100.0","28","28","100","6111","101","10","1994","32.6","14","50.0","1122","18.4","15","53.6"
"argparse._ActionsContainer._get_optional_kwargs","False","81.8","18","22","99","4385","2","5","2863","65.3","15","68.2","1362","31.1","14","63.6"
"argparse._ActionsContainer._pop_action_class","False","100.0","2","2","100","6177","0","1","6177","100.0","2","100.0","-1","-1","-1","-1"
"argparse._ActionsContainer._registry_get","False","100.0","1","1","100","15623","0","1","15623","100.0","1","100.0","-1","-1","-1","-1"
"argparse._StoreConstAction.__init__","False","66.7","8","12","24","652","0","1","652","100.0","8","66.7","-1","-1","-1","-1"
"argparse.Action.__init__","False","55.6","10","18","102","6224","0","1","6224","100.0","10","55.6","-1","-1","-1","-1"
"argparse.ArgumentParser._get_formatter","False","100.0","1","1","105","6567","0","1","6567","100.0","1","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter.__init__","False","84.2","16","19","105","6567","0","1","6567","100.0","16","84.2","-1","-1","-1","-1"
"argparse.HelpFormatter._Section.__init__","False","100.0","4","4","105","6988","0","1","6988","100.0","4","100.0","-1","-1","-1","-1"
"argparse.HelpFormatter._format_args","False","95.8","23","24","104","9050","25","10","4893","54.1","4","16.7","2747","30.4","12","50.0"
"argparse.HelpFormatter._metavar_formatter","False","72.7","8","11","104","9516","0","3","8404","88.3","5","45.5","713","7.5","4","36.4"
"argparse.HelpFormatter._metavar_formatter.<locals>.format","False","100.0","3","3","104","9437","0","2","9333","98.9","2","66.7","104","1.1","2","66.7"
"argparse.ArgumentParser._add_action","False","100.0","4","4","100","4529","3","3","3525","77.8","3","75.0","1001","22.1","3","75.0"
"argparse._ArgumentGroup._add_action","False","100.0","3","3","100","6398","4","2","6394","99.9","3","100.0","4","0.1","1","33.3"
"argparse._ActionsContainer._add_action","False","100.0","10","10","100","6398","4","4","4550","71.1","8","80.0","1808","28.3","6","60.0"
